title,genre,directors,writers,actors,studio_name,tomato_rating,audience_rating,budget,genres
Running Scared,"Action & Adventure, Comedy",Peter Hyams,"Jimmy Huston, Vicki Polon, Gary M. Devore",0,11,60,59.0,17000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Going the Distance,Comedy,Mark Griffiths,"Eric Goodman, Kelly Senecal",0,12,0,61.0,32000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Going the Distance,"Comedy, Romance",Nanette Burstein,Geoff LaTulippe,502.0,10,53,52.0,32000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Ultraviolet,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy",Kurt Wimmer,Kurt Wimmer,954.0,13,8,30.0,30000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]"
Malevolence,Horror,Stevan Mena,Stevan Mena,0,14,33,83.0,450000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
The Matador,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Bob Yari, Richard Shepard","Richard Shepard, Richard Shepherd",604.0,15,75,65.0,10000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Saint Ralph,"Comedy, Drama",Michael McGowan,Michael McGowan,0,16,64,85.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Oliver Twist,"Drama, Kids & Family",Roman Polanski,Ronald Harwood,0,13,60,63.0,50000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]"
Oliver Twist,"Action & Adventure, Classics, Drama",David Lean,"Charles Dickens, Stanley Haynes, David Lean",0,17,100,84.0,50000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]"
The Alamo,"Action & Adventure, Classics, Drama, Western",John Wayne,James Edward Grant,483.0,18,50,63.0,145000000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]"
The Alamo,"Action & Adventure, Drama, Western",John Lee Hancock,"Leslie Bohem, Stephen Gaghan, John Lee Hancock, John Sayles",536.0,19,29,45.0,145000000,"[{""id"": 37, ""name"": ""Western""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]"
Alfie,"Classics, Comedy, Drama, Romance",Lewis Gilbert,Bill Naughton,644.0,20,96,77.0,60000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Alfie,"Comedy, Drama, Romance",Charles Shyer,"Charles Shyer, Elaine Pope",690.5,20,48,51.0,60000000,"[{""id"": 35, ""name"": ""Comedy""}]"
Aliens,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,James Cameron,693.5,0,99,94.0,18500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Stay Alive,"Horror, Mystery & Suspense",William Brent Bell,"William Brent Bell, Matthew Peterman",0,5,9,55.0,9000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
All the King's Men,"Classics, Drama",Robert Rossen,"Robert Rossen, Robert Penn Warren",0,21,97,78.0,55000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
The Motel,"Comedy, Drama",Michael Kang,Michael Kang,0,22,87,64.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]"
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,"Documentary, Sports & Fitness","Paul Crowder, John Dower","Mark Monroe, John Dower",0,23,81,80.0,1000000,"[{""id"": 99, ""name"": ""Documentary""}]"
The Ten,Comedy,David Wain,"Ken Marino, David Wain",631.0,24,36,40.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
The Happening,"Drama, Mystery & Suspense, Science Fiction & Fantasy",M. Night Shyamalan,M. Night Shyamalan,514.5,0,18,24.0,60000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Molière,Comedy,"Laurent Tirard, Laurent Sivot","Laurent Tirard, Grégoire Vigneron, Fanny Valette, Jean-Claude Jay",0,1,69,79.0,0,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]"
Pathology,"Drama, Mystery & Suspense","Marc Scholermann, Marc Schoelermann","Brian Taylor, Mark Neveldine",0,25,45,39.0,8000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Beverly Hills Chihuahua,Comedy,Raja Gosnell,"Analisa LaBianco, Jeffrey Bushell",585.5,26,40,52.0,20000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
The Eye,"Drama, Horror, Mystery & Suspense","David Moreau, Xavier Palud","Sebastian Gutierrez, Hillary Seitz",943.5,3,22,43.0,12000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
Day of the Dead,"Horror, Mystery & Suspense",Steve Miner,Jeffrey Reddick,0,27,13,22.0,3500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]"
Day of the Dead,Horror,George A. Romero,George A. Romero,0,28,83,75.0,3500000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]"
My Best Friend's Girl,"Comedy, Drama",Howard Deutch,"Jordan Cahan, Jordan B. Cahan",639.5,29,14,46.0,20000000,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]"
The Midnight Meat Train,"Drama, Horror, Mystery & Suspense",Ryuhei Kitamura,Jeff Buhler,487.5,3,72,50.0,15000000,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]"
The Lucky Ones,"Comedy, Drama",Neil Burger,"Neil Burger, Dirk Wittenborn",1004.0,29,37,54.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
Run Fatboy Run,Comedy,David Schwimmer,"Michael Ian Black, Simon Pegg",484.0,30,46,64.0,10000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Whiteout,"Action & Adventure, Drama, Mystery & Suspense",Dominic Sena,"Jon Hoeber, Erich Hoeber, Chad Hayes, Carey Hayes",1030.0,8,7,21.0,40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]"
Flawless,"Drama, Mystery & Suspense",Michael Radford,"Edward A. Anderson, Edward Anderson",741.0,6,55,54.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Flawless,"Comedy, Drama",Joel Schumacher,Joel Schumacher,624.0,25,43,53.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
What Happens in Vegas,"Comedy, Romance",Tom Vaughan,Dana Fox,537.0,0,26,65.0,35000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
Appaloosa,"Action & Adventure, Western",Ed Harris,Robert Knott,515.5,8,76,55.0,20000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}, {""id"": 80, ""name"": ""Crime""}]"
Good,Drama,Vicente Amorim,John Wrathall,555.0,24,32,32.0,0,"[{""id"": 18, ""name"": ""Drama""}]"
Married Life,"Comedy, Drama, Mystery & Suspense, Romance",Ira Sachs,"Ira Sachs, John Bingham, Oren Moverman",1134.0,31,54,36.0,12000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
The Oxford Murders,"Art House & International, Drama, Horror, Mystery & Suspense",Álex de la Iglesia,"Álex de la Iglesia, Jorge Guerricaechevarría",625.5,6,9,33.0,14100000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]"
Untraceable,"Drama, Horror, Mystery & Suspense",Gregory Hoblit,"Allison Burnett, Robert Fyvolent, Mark R. Brinker",700.0,32,16,52.0,35000000,"[{""id"": 18, ""name"": ""Drama""}]"
The Informers,"Drama, Mystery & Suspense",Gregor Jordan,"Bret Easton Ellis, Nicholas Jarecki",736.2,33,12,18.0,18000000,"[{""id"": 18, ""name"": ""Drama""}]"
The Rocker,"Comedy, Drama",Peter Cattaneo,"Maya Forbes, Wallace Wolodarsky",590.0,34,41,46.0,15000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]"
Land of the Lost,"Action & Adventure, Comedy, Science Fiction & Fantasy",Brad Silberling,"Chris Henchy, Dennis McNicholas",680.0,35,26,32.0,100000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]"
The Box,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,Richard Kelly,550.5,8,44,24.0,30000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]"
21,"Drama, Mystery & Suspense",Robert Luketic,"Peter Steinfeld, Allan Loeb",584.5,36,36,66.0,35000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]"
Body of Lies,"Drama, Mystery & Suspense",Ridley Scott,William Monahan,624.0,8,55,62.0,70000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
The Hammer,Comedy,Charles Herman-Wurmfeld,"Kevin Hench, Charles Hench",0,37,80,90.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
Shutter,"Horror, Mystery & Suspense",Masayuki Ochiai,Luke Dawson,0,0,9,33.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]"
Shutter,"Art House & International, Drama, Horror","Banjong Pisanthanakun, Parkpoom Wongpoom","Banjong Pisanthanakun, Parkpoom Wongpoom, Sophon Sakdaphisit",0,38,58,78.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]"
Priest,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",Scott Stewart,"Scott Stewart, Cory Goodman",522.6666666666666,39,15,46.0,60000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]"
The Road,"Drama, Mystery & Suspense, Science Fiction & Fantasy","Javier Aguirresarobe, John Hillcoat",Joe Penhall,690.3333333333334,40,73,68.0,32000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]"
The Road,"Drama, Horror",Yam Laranas,"Yam Laranas, Adloy Adlawan",0,41,65,59.0,32000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}]"
G-Force,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy","Hoyt Yeatman, Hoyt Yeatman IV","Tim Firth, Terry Rossio, Ted Elliott, Cormac Wibberley, Marianne Wibberley",789.0,26,22,39.0,150000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]"
The Duchess,Drama,Saul Dibb,"Jeffrey Hatcher, Saul Dibb, Anders Thomas Jensen",557.8,42,62,67.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]"
The Women,"Comedy, Drama",Diane English,Diane English,552.5,43,13,38.0,16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
The Women,"Classics, Comedy, Drama",George Cukor,"Anita Loos, Jane Murfin",0,25,92,88.0,16000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Public Enemies,"Action & Adventure, Drama",Michael Mann,"Michael Mann, Ronan Bennett, Ann Biderman, Mark St. Germain",833.6,44,68,59.0,80000000,"[{""id"": 36, ""name"": ""History""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]"
Julia,"Art House & International, Drama, Mystery & Suspense",Erick Zonca,"Erick Zonca, Aude Py",0,6,74,67.0,0,"[{""id"": 18, ""name"": ""Drama""}]"
Old Dogs,"Comedy, Drama, Kids & Family","Walt Becker, Walter Becker","David Diamond, David Weissman",806.0,26,5,44.0,35000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]"
Surrogates,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",Jonathan Mostow,"John Brancato, Michael Ferris",880.0,45,37,38.0,80000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]"
Soul Men,"Comedy, Musical & Performing Arts",Malcolm D. Lee,"Matthew Stone, Robert Ramsey",1034.0,25,45,58.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]"
Alvin and the Chipmunks: The Squeakquel,"Animation, Comedy, Kids & Family",Betty Thomas,"Jon Vitti, Jonathan Aibel, Glenn Berger, Ross Bagdasarian Sr., Janice Karman",628.5,0,20,49.0,75000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10402, ""name"": ""Music""}]"
The Unborn,"Horror, Mystery & Suspense",David S. Goyer,David S. Goyer,903.0,46,10,30.0,16000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
Fireproof,Drama,Alex Kendrick,"Alex Kendrick, Stephen Kendrick",0,47,40,82.0,500000,"[{""id"": 18, ""name"": ""Drama""}]"
The Proposal,"Comedy, Romance",Anne Fletcher,Peter Chiarelli,703.5,26,44,67.0,40000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]"
Fuel,"Documentary, Special Interest",Josh Tickell,Johnny O'Hara,594.0,48,72,82.0,0,"[{""id"": 99, ""name"": ""Documentary""}, {""id"": 18, ""name"": ""Drama""}]"
Anna Karenina,"Classics, Drama, Romance",Clarence Brown,"Clemence Dane, Salka Viertel, S.N. Behrmann",0,49,100,70.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Anna Karenina,"Drama, Special Interest",Bernard Rose,"Bernard Rose, Mable Lawson McCrary",582.0,8,26,66.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Anna Karenina,"Drama, Romance",Joe Wright,Tom Stoppard,616.25,50,62,50.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Orphan,"Drama, Horror, Mystery & Suspense",Jaume Collet-Serra,David Leslie Johnson-McGoldrick,0,8,56,63.0,20000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
The Hangover,Comedy,Todd Phillips,"Jon Lucas, Todd Phillips, Scott Moore",481.5,8,78,84.0,35000000,"[{""id"": 35, ""name"": ""Comedy""}]"
The Stepfather,"Horror, Mystery & Suspense",Nelson McCormick,"Donald E. Westlake, J.S. Cardone",947.0,51,11,34.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
The Stepfather,"Horror, Mystery & Suspense",Joseph Ruben,"Donald E. Westlake, Brian Garfield",0,52,88,65.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
Miss March,Comedy,"Zach Cregger, Trevor Moore","Zach Cregger, Trevor Moore",0,0,5,30.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
The Missing Person,"Comedy, Drama, Mystery & Suspense",Noah Buschel,Noah Buschel,0,53,61,44.0,0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]"
The Messenger,"Drama, Romance",Oren Moverman,"Oren Moverman, Alessandro Camon",563.0,54,89,75.0,6500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
The Messenger,"Art House & International, Documentary, Kids & Family",Su Rynard,"Sally Blake, Su Rynard",0,55,83,60.0,6500000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]"
Lake Mungo,"Horror, Mystery & Suspense",Joel Anderson,Joel Anderson,0,56,94,62.0,0,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
The Apartment,"Classics, Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond",0,17,94,94.0,3000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Fame,"Drama, Musical & Performing Arts, Romance",Kevin Tancharoen,"Aline Brosh McKenna, Michael Gore, Allison Burnett",0,25,24,36.0,0,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
Fame,"Drama, Musical & Performing Arts",Alan Parker,"Christopher Gore, Alan Parker",0,49,84,69.0,0,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]"
April Fool's Day,Horror,Fred Walton,Danilo Bach,0,20,38,47.0,5000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]"
Ong Bak 2,"Action & Adventure, Art House & International","Panna Rittikrai, Prachya Pinkaew, Tony Jaa","Ek Iemchuen, Nontakorn Taveesuk, Panna Rittikrai, Ake Eamchuen, Tony Jaa",0,6,48,53.0,8500000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]"
Chloe,"Drama, Mystery & Suspense",Atom Egoyan,"Erin Cressida Wilson, Jacques Fieschi, Anne Fontaine, Philippe Blasband, François-Olivier Rousseau, Philippe Blasbland",793.25,1,51,39.0,15000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
The Hole,"Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",Joe Dante,Mark L. Smith,0,57,81,46.0,0,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]"
Around the World in 80 Days,"Action & Adventure, Comedy, Drama, Kids & Family",Michael Anderson,"John Farrow, James Poe, S.J. Perelman",0,17,71,57.0,110000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]"
Around the World in 80 Days,"Action & Adventure, Comedy, Kids & Family",Frank Coraci,"David N. Titcher, David Benullo, David Goldstein, Michael D. Weiss, David Tichter, David Andrew Goldstein",724.75,19,32,34.0,110000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]"
The Good Heart,Drama,Dagur Kári,Dagur Kári,0,6,30,58.0,3800000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]"
The Last Song,"Drama, Kids & Family, Romance",Julie Ann Robinson,"Nicholas Sparks, Jeff Van Wie",458.0,58,20,66.0,0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]"
Lottery Ticket,Comedy,Erik White,Abdul Williams,551.0,8,35,44.0,0,"[{""id"": 35, ""name"": ""Comedy""}]"
Frozen,"Drama, Horror, Mystery & Suspense",Adam Green,Adam Green,0,59,63,46.0,150000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]"
The Ghost Writer,"Drama, Mystery & Suspense","Hervé de Luze, Roman Polanski","Robert Harris, Roman Polanski",554.0,9,84,70.0,45000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]"
Repo Men,"Action & Adventure, Science Fiction & Fantasy",Miguel Sapochnik,"Eric Garcia, Garrett Lerner",906.0,44,22,41.0,32000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]"
Winter's Bone,Drama,Debra Granik,"Debra Granik, Anne Rosellini",586.0,60,94,76.0,2000000,"[{""id"": 18, ""name"": ""Drama""}]"
The Kids Are All Right,"Comedy, Drama",Lisa Cholodenko,"Lisa Cholodenko, Stuart Blumberg",850.0,50,93,74.0,3500000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]"
Stolen,"Drama, Mystery & Suspense",Anders Anderson,Glenn Taranto,651.0,37,0,39.0,35000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Stolen,"Documentary, Musical & Performing Arts",Rebecca Dreyfus,Sharon Guskin,0,37,67,47.0,35000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Stolen,"Action & Adventure, Drama, Mystery & Suspense",Simon West,David Guggenheim,789.0,61,20,34.0,35000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]"
Predators,"Action & Adventure, Horror, Science Fiction & Fantasy",Nimród Antal,"Alex Litvak, Michael Finch",657.0,0,65,52.0,40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]"
Assault on Precinct 13,"Action & Adventure, Drama, Mystery & Suspense",John Carpenter,John Carpenter,0,62,98,80.0,30000000,"[{""id"": 53, ""name"": ""Thriller""}]"
Assault on Precinct 13,"Action & Adventure, Drama, Mystery & Suspense","Jean-François Richet, Jean Richet",James DeMonaco,634.0,50,59,48.0,30000000,"[{""id"": 53, ""name"": ""Thriller""}]"
The Awakening,"Horror, Mystery & Suspense",Mike Newell,"Clive Exton, Gina Berriault, Chris Bryant, Allan Scott",518.0,49,0,21.0,4798235,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]"
